"Borough","zPrice","Mean","Std"
"Manhattan",3.27444421452505,1601150.33430207,1129611.44651366
"Manhattan",-0.133807367806486,1601150.33430207,1129611.44651366
"Manhattan",0.884241806136701,1601150.33430207,1129611.44651366
"Manhattan",3.45149624477604,1601150.33430207,1129611.44651366
"Manhattan",-0.178070375369233,1601150.33430207,1129611.44651366
"Manhattan",0.0432446624445033,1601150.33430207,1129611.44651366
"Manhattan",1.32687188176417,1601150.33430207,1129611.44651366
"Manhattan",0.596532256978844,1601150.33430207,1129611.44651366
"Manhattan",-0.788899879735145,1601150.33430207,1129611.44651366
"Manhattan",1.12945886803432,1601150.33430207,1129611.44651366
"Manhattan",-0.744636872172398,1601150.33430207,1129611.44651366
"Manhattan",3.07109376096073,1601150.33430207,1129611.44651366
"Manhattan",1.90229098007989,1601150.33430207,1129611.44651366
"Manhattan",0.862110302355327,1601150.33430207,1129611.44651366
"Manhattan",2.61049910108384,1601150.33430207,1129611.44651366
"Manhattan",0.131770677569998,1601150.33430207,1129611.44651366
"Manhattan",-0.534387586249348,1601150.33430207,1129611.44651366
"Manhattan",1.28260887420143,1601150.33430207,1129611.44651366
"Manhattan",2.38918406327011,1601150.33430207,1129611.44651366
"Manhattan",-0.284301593519826,1601150.33430207,1129611.44651366
"Manhattan",-0.629553052509255,1601150.33430207,1129611.44651366
"Manhattan",-1.00578861679261,1601150.33430207,1129611.44651366
"Manhattan",-0.691521263097101,1601150.33430207,1129611.44651366
"Manhattan",-0.850868090322991,1601150.33430207,1129611.44651366
"Manhattan",-0.846441789566716,1601150.33430207,1129611.44651366
"Manhattan",0.0875076700072506,1601150.33430207,1129611.44651366
"Manhattan",1.05067071457263,1601150.33430207,1129611.44651366
"Manhattan",0.851044550464641,1601150.33430207,1129611.44651366
"Manhattan",-0.851753350474246,1601150.33430207,1129611.44651366
"Manhattan",0.884241806136701,1601150.33430207,1129611.44651366
"Manhattan",2.99809520888825,1601150.33430207,1129611.44651366
"Manhattan",-0.288727894276101,1601150.33430207,1129611.44651366
"Manhattan",-0.740210571416123,1601150.33430207,1129611.44651366
"Manhattan",-0.957099308473584,1601150.33430207,1129611.44651366
"Manhattan",2.69902511620934,1601150.33430207,1129611.44651366
"Manhattan",-0.798637741398949,1601150.33430207,1129611.44651366
"Manhattan",-0.642831954778079,1601150.33430207,1129611.44651366
"Manhattan",1.29146147571398,1601150.33430207,1129611.44651366
"Manhattan",-0.576437443433958,1601150.33430207,1129611.44651366
"Manhattan",0.751452783448459,1601150.33430207,1129611.44651366
"Manhattan",-0.0010183451182439,1601150.33430207,1129611.44651366
"Manhattan",-0.558732240408859,1601150.33430207,1129611.44651366
"Manhattan",1.14981985151318,1601150.33430207,1129611.44651366
"Manhattan",0.618663760760218,1601150.33430207,1129611.44651366
"Manhattan",-0.616274150240431,1601150.33430207,1129611.44651366
"Manhattan",0.0388183616882286,1601150.33430207,1129611.44651366
"Manhattan",-0.0419917259589278,1601150.33430207,1129611.44651366
"Manhattan",1.28349413435268,1601150.33430207,1129611.44651366
"Manhattan",-0.3064330973012,1601150.33430207,1129611.44651366
"Manhattan",0.26455970025824,1601150.33430207,1129611.44651366
"Manhattan",-0.266596390494727,1601150.33430207,1129611.44651366
"Manhattan",-0.266596390494727,1601150.33430207,1129611.44651366
"Manhattan",0.131770677569998,1601150.33430207,1129611.44651366
"Manhattan",-0.766768375953771,1601150.33430207,1129611.44651366
"Manhattan",1.99081699520538,1601150.33430207,1129611.44651366
"Manhattan",0.189312587401569,1601150.33430207,1129611.44651366
"Manhattan",0.348659414627459,1601150.33430207,1129611.44651366
"Manhattan",3.17837843869132,1601150.33430207,1129611.44651366
"Manhattan",0.662926768322965,1601150.33430207,1129611.44651366
"Manhattan",0.308822707820987,1601150.33430207,1129611.44651366
"Manhattan",1.88015947629851,1601150.33430207,1129611.44651366
"Manhattan",0.149475880595097,1601150.33430207,1129611.44651366
"Manhattan",-0.639290914173059,1601150.33430207,1129611.44651366
"Manhattan",0.928504813699448,1601150.33430207,1129611.44651366
"Manhattan",0.862110302355327,1601150.33430207,1129611.44651366
"Manhattan",0.950636317480822,1601150.33430207,1129611.44651366
"Manhattan",0.26455970025824,1601150.33430207,1129611.44651366
"Manhattan",2.38918406327011,1601150.33430207,1129611.44651366
"Manhattan",-0.691521263097101,1601150.33430207,1129611.44651366
"Manhattan",-0.403811713939244,1601150.33430207,1129611.44651366
"Manhattan",-0.806605082760244,1601150.33430207,1129611.44651366
"Manhattan",1.02809658071563,1601150.33430207,1129611.44651366
"Manhattan",-0.50816175426842,1601150.33430207,1129611.44651366
"Manhattan",-0.0939706610000131,1601150.33430207,1129611.44651366
"Manhattan",2.69902511620934,1601150.33430207,1129611.44651366
"Manhattan",2.95315940361055,1601150.33430207,1129611.44651366
"Manhattan",0.773584287229833,1601150.33430207,1129611.44651366
"Manhattan",0.697653753536394,1601150.33430207,1129611.44651366
"Manhattan",-0.356007665771477,1601150.33430207,1129611.44651366
"Manhattan",-0.310859398057475,1601150.33430207,1129611.44651366
"Manhattan",-0.0824622790336988,1601150.33430207,1129611.44651366
"Manhattan",-0.191349277638057,1601150.33430207,1129611.44651366
"Manhattan",-0.0917575106218758,1601150.33430207,1129611.44651366
"Manhattan",-0.70037386460965,1601150.33430207,1129611.44651366
"Manhattan",0.229149294208042,1601150.33430207,1129611.44651366
"Manhattan",-0.881852195616914,1601150.33430207,1129611.44651366
"Manhattan",1.20514861096662,1601150.33430207,1129611.44651366
"Manhattan",0.530137745634723,1601150.33430207,1129611.44651366
"Manhattan",-0.850868090322991,1601150.33430207,1129611.44651366
"Manhattan",-0.178070375369233,1601150.33430207,1129611.44651366
"Manhattan",-0.394959112426694,1601150.33430207,1129611.44651366
"Manhattan",-1.00136231603633,1601150.33430207,1129611.44651366
"Manhattan",-0.846441789566716,1601150.33430207,1129611.44651366
"Manhattan",-0.533944956173721,1601150.33430207,1129611.44651366
"Manhattan",1.01703082882494,1601150.33430207,1129611.44651366
"Manhattan",0.0609498654696022,1601150.33430207,1129611.44651366
"Manhattan",0.268986001014514,1601150.33430207,1129611.44651366
"Manhattan",-0.602995247971606,1601150.33430207,1129611.44651366
"Manhattan",-0.253317488225903,1601150.33430207,1129611.44651366
"Manhattan",0.122918076057448,1601150.33430207,1129611.44651366
"Manhattan",-0.864146992591815,1601150.33430207,1129611.44651366
"Manhattan",0.485874738071976,1601150.33430207,1129611.44651366
"Manhattan",3.45149624477604,1601150.33430207,1129611.44651366
"Manhattan",0.700892920429836,1601150.33430207,1129611.44651366
"Manhattan",0.428332828240404,1601150.33430207,1129611.44651366
"Manhattan",2.23072249619547,1601150.33430207,1129611.44651366
"Manhattan",3.14165519183681,1601150.33430207,1129611.44651366
"Manhattan",-0.975689771649938,1601150.33430207,1129611.44651366
"Manhattan",-0.926115203179661,1601150.33430207,1129611.44651366
"Manhattan",-0.775620977466321,1601150.33430207,1129611.44651366
"Manhattan",0.485874738071976,1601150.33430207,1129611.44651366
"Manhattan",-0.0010183451182439,1601150.33430207,1129611.44651366
"Manhattan",-0.518895533602387,1601150.33430207,1129611.44651366
"Manhattan",-0.824310285785343,1601150.33430207,1129611.44651366
"Manhattan",1.94655398764263,1601150.33430207,1129611.44651366
"Manhattan",-0.576437443433958,1601150.33430207,1129611.44651366
"Manhattan",-0.569797992299546,1601150.33430207,1129611.44651366
"Manhattan",-0.133807367806486,1601150.33430207,1129611.44651366
"Manhattan",0.392922422190207,1601150.33430207,1129611.44651366
"Manhattan",2.21213203301912,1601150.33430207,1129611.44651366
"Manhattan",-0.860605951986795,1601150.33430207,1129611.44651366
"Manhattan",-0.576437443433958,1601150.33430207,1129611.44651366
"Manhattan",-0.687094962340826,1601150.33430207,1129611.44651366
"Manhattan",-0.855294391079266,1601150.33430207,1129611.44651366
"Manhattan",-0.664963458559453,1601150.33430207,1129611.44651366
"Manhattan",-0.842015488810442,1601150.33430207,1129611.44651366
"Manhattan",-0.570240622375173,1601150.33430207,1129611.44651366
"Manhattan",-0.7092264661222,1601150.33430207,1129611.44651366
"Manhattan",-0.802178782003969,1601150.33430207,1129611.44651366
"Manhattan",-0.673816060072002,1601150.33430207,1129611.44651366
"Manhattan",-0.864146992591815,1601150.33430207,1129611.44651366
"Manhattan",-0.731357969903573,1601150.33430207,1129611.44651366
"Manhattan",-0.647258255534354,1601150.33430207,1129611.44651366
"Manhattan",-0.842015488810442,1601150.33430207,1129611.44651366
"Manhattan",-0.895131097885738,1601150.33430207,1129611.44651366
"Manhattan",0.928504813699448,1601150.33430207,1129611.44651366
"Manhattan",-0.996936015280057,1601150.33430207,1129611.44651366
"Manhattan",-0.244464886713354,1601150.33430207,1129611.44651366
"Manhattan",-0.996936015280057,1601150.33430207,1129611.44651366
